,battery_level,captive,code,id,latitude,longitude,model,nest_id,partner_id,region,time
0,56.0,False,,78d552f1-0ba6-4f19-a39f-7d21eb9c6776,34.009507,-118.496967,bd,,,santa-monica,2019-07-14 18:41:16.565443
1,98.0,False,,61df4cf3-8fcd-48d4-b1d4-2382b862d311,34.009612,-118.497044,bd,,,santa-monica,2019-07-14 18:41:16.565443
2,98.0,False,,14e37dbd-ec7d-45e4-bc99-a179cb65a4ef,34.009577,-118.496795,bd,,,santa-monica,2019-07-14 18:41:16.565443
3,73.0,False,,5e0d0b84-aa2b-40a6-aa0f-8251067dd595,34.008903333333336,-118.498115,rf,,,santa-monica,2019-07-14 18:41:16.565443
4,19.0,False,,a4119bb3-f5e1-4730-a150-372587fbce12,34.00972333333333,-118.49508666666667,rf,,,santa-monica,2019-07-14 18:41:16.565443
5,9.0,False,,999d4ea0-e9aa-4455-9cdc-0cc406eb6127,34.00976418986359,-118.49503437068172,bd,,,santa-monica,2019-07-14 18:41:16.565443
6,12.0,False,,e87f80b5-642e-4582-9477-6f6a787b2ef4,34.010283,-118.49514,bd,,,santa-monica,2019-07-14 18:41:16.565443
7,80.0,False,,65aa8456-66b3-4129-b422-29222427a03a,34.01032333333333,-118.49516333333334,rf,,,santa-monica,2019-07-14 18:41:16.565443
8,25.0,False,,9bf2856b-1d38-4bab-bf0d-2f429835c20e,34.01069333333333,-118.49547499999998,rf,,,santa-monica,2019-07-14 18:41:16.565443
9,76.0,False,,15bc04d1-6e50-4c04-8008-58ac870a2ea6,34.010459999999995,-118.49523166666668,rf,,,santa-monica,2019-07-14 18:41:16.565443
10,72.0,False,,b952bce6-6745-4c3b-a754-380011ec3288,34.010448333333336,-118.49520166666667,rf,,,santa-monica,2019-07-14 18:41:16.565443
11,31.0,False,,6fe33d5b-4297-42dc-a159-087c8b8d074d,34.01045666666666,-118.49520166666667,rf,,,santa-monica,2019-07-14 18:41:16.565443
12,92.0,False,,1fe40549-de66-44b3-90e5-d46f72db8ea6,34.01043333333334,-118.49517833333333,rf,,,santa-monica,2019-07-14 18:41:16.565443
13,37.0,False,,9e30d53a-e51e-4d38-adac-a01dd8039246,34.01057,-118.495255,rf,,,santa-monica,2019-07-14 18:41:16.565443
14,66.0,False,,73bc0ff5-b5cf-49b4-9ab3-6050b2b784c4,34.010395,-118.495095,rf,,,santa-monica,2019-07-14 18:41:16.565443
15,79.0,False,,1437ec2e-f241-4f7e-a7d9-e1cf9e90f792,34.010067,-118.494772,bd,,,santa-monica,2019-07-14 18:41:16.565443
16,51.0,False,,e4750c24-ea4a-48db-b41d-428cc84c054a,34.00993666666667,-118.49472833333333,rf,,,santa-monica,2019-07-14 18:41:16.565443
17,26.0,False,,664a11e8-1944-41aa-abc1-5aeb59ea83bf,34.00978,-118.494599,bd,,,santa-monica,2019-07-14 18:41:16.565443
18,56.0,False,,f430935b-8176-40c8-9f99-19dc1e367b63,34.010025000000006,-118.49463666666666,rf,,,santa-monica,2019-07-14 18:41:16.565443
19,40.0,False,,baf39444-d7e2-4b1e-9d38-54831c6a233d,34.01004833333333,-118.49463666666666,rf,,,santa-monica,2019-07-14 18:41:16.565443
20,52.0,False,,0ae3ea65-e4dc-444b-bb82-96a152b5f074,34.009796,-118.494496,bd,,,santa-monica,2019-07-14 18:41:16.565443
21,30.0,False,,138f5a30-2973-48c9-8cad-5f8720fa56ff,34.009828,-118.49448,bd,,,santa-monica,2019-07-14 18:41:16.565443
22,53.0,False,,8a4c5f15-8d1b-4b81-a07b-1beedba31c76,34.01079,-118.494981,bd,,,santa-monica,2019-07-14 18:41:16.565443
23,79.0,False,,d1237993-04ec-463e-86a2-1912e13aaebe,34.011208333333336,-118.49485000000001,rf,,,santa-monica,2019-07-14 18:41:16.565443
24,73.0,False,,a9a7bf09-40e1-4cba-ba22-ee39b43f5e30,34.01155,-118.495293,bd,,,santa-monica,2019-07-14 18:41:16.565443
25,4.0,False,,55160b9e-6691-4c33-94c7-a09b535c7b9a,34.011215,-118.49481166666668,rf,,,santa-monica,2019-07-14 18:41:16.565443
26,75.0,False,,a56a7696-cdfd-4b32-a132-7d6f038a270d,34.01157333333333,-118.49531499999999,rf,,,santa-monica,2019-07-14 18:41:16.565443
27,31.0,False,,8d3a68d5-f290-4d48-851f-9a8e0c31964b,34.011619,-118.4954,bd,,,santa-monica,2019-07-14 18:41:16.565443
28,20.0,False,,75970c64-97ad-4093-906e-3ef678723234,34.011195,-118.494775,bd,,,santa-monica,2019-07-14 18:41:16.565443
29,26.0,False,,f7a18507-95c7-4d76-8f66-0b6799e7cadb,34.011576,-118.49529,bd,,,santa-monica,2019-07-14 18:41:16.565443
30,96.0,False,,d089c10d-0a14-4ee8-8a3d-c86dffd817eb,34.011493333333334,-118.49514833333333,rf,,,santa-monica,2019-07-14 18:41:16.565443
31,56.0,False,,641879e7-4c89-444a-8e70-54017fc1dcaa,34.011632,-118.495388,bd,,,santa-monica,2019-07-14 18:41:16.565443
32,36.0,False,,646131e3-0452-40f1-99e2-a7ca896a5b63,34.011478,-118.495119,bd,,,santa-monica,2019-07-14 18:41:16.565443
